"","QE_Total","QE3_Shellfish","QE2_Other","V3_Shellfish","V2_Other","QE1_Finfish","V1_Finfish","VV1_Finfish","PC1_Finfish","PI1_Finfish","Q1_Finfish","VV2_Other","PC2_Other","PI2_Other","Q2_Other","VV3_Shellfish","PC3_Shellfish","PI3_Shellfish","Q3_Shellfish","VV_Total","R1_Finfish","R2_Other","V_Total","R3_Shellfish","PC_Total","QC1_Finfish","QC2_Other","QC3_Shellfish","QC_Total","PI_Total","Q_Total","QI_Total","QEI_Total"
"1972",102089981,45949988,302878,232879800,605800,55767464,221958200,221958200,-0.23184577642108,3.39673948919083,65344487.1784603,0,0,2.18437394737809,0,186867900,-0.230147049866257,29.7013980312457,6291552.33041272,408826100,0.487344871090571,0.00133013118193727,455443800,0.511324997727491,-0.230724744473322,-0.013760051619283,NA,0.145197577308523,0.13143752568924,6.26907667691165,72649262.9572313,0.0138216212441843,0.0683570155640704
"1973",152299269,72629658,153179,266137600,306400,79460513,199474200,199474200,-0.632736498288626,1.80413183719743,110565201.437754,306400,0,2.18437394737809,140269.023244749,204417500,-0.506201940784341,17.9034275127471,11417785.7761848,404198100,0.428131375850954,0.000657626166996696,465918200,0.571210997982049,-0.563618528376636,0.240739276475597,Inf,0.322576491017668,Inf,3.56801905404818,130581757.816394,0.024843357309771,0.101975956890711
"1974",145220050,66065158,220623,272196640,580600,78764550,189372800,189372800,0.0239573445438991,1.84787594936699,102481338.135751,580600,0.274322423426169,2.87384739557783,202028.820630283,208290540,0.0186148935516592,18.2398191436552,11419550.7290682,398243940,0.409764759514031,0.00125630195769322,462150040,0.588978938528275,0.0210978059881074,-0.0318085022353296,0.000349146606326708,0.0000896637213938731,-0.031369691907609,3.64409613565102,126821582.85526,0.0241279789011111,0.0972358807478384
"1975",129713179,55445434,650351,246819600,1063300,73578188,196119700,196119700,0.0730002662364078,1.98781711639354,98660836.7452918,45300,0,2.87384739557783,15762.8411549291,199961200,0.138823223264112,20.9561108773448,9541904.08565615,396126200,0.441708449455026,0.00239480579618227,444002600,0.555896744748792,0.110546551768568,-0.0161748567676451,-0.00465654071423924,-0.102829189053868,-0.123660586535753,4.07004848728069,109090248.282681,0.0207545683441398,0.0868528498968773
"1976",242120381,100114634,491182,350199200,1479100,141508086,298302400,298302400,-0.199575069219528,1.62817872096466,183212319.482509,1479100,-0.208839242551598,2.33220097328183,634207.77923724,269428100,-0.261517792997358,16.1337362593224,16699671.7728244,569209600,0.458940396230227,0.00227560602953288,649980700,0.538783997740241,-0.233500456400325,0.278731732627313,0.00862793498815023,0.306344221717632,0.593703889333095,3.22249033408962,201701365.283885,0.0383739595132566,0.162118030489159
"1977",349198050,158651509,317790,314134500,1757100,190223148,359018000,359018000,-0.113040879800014,1.45414945286254,246892091.657609,1757100,0.382962840908596,3.42046082563862,513702.7112924,215668300,-0.600514562754165,8.84982722950843,24369775.1839591,576443400,0.531949760382724,0.00260345978187301,674909600,0.465446779835403,-0.356598900242349,0.147794075649488,-0.000514087435611172,0.189776809661889,0.337056797875766,2.25591477543857,299173358.563065,0.0569181390159944,0.233814682939289
"1978",504883505,231198500,570867,331492327,3476059,272832598,449150603,449150603,-0.141687300920789,1.26204555419819,355890959.328609,3474549,-0.0743066884510818,3.1755111067248,1094170.00389069,201820675,-0.145211656177632,7.65367772408324,26369110.6779877,654445827,0.572809241072977,0.00443307590909522,784118989,0.422757683017928,-0.143015411912432,0.201990282771388,0.00266018572180761,0.0350172977639633,0.239667766257159,1.95529317565342,401023743.530412,0.0762953135018769,0.338057949186291
"1979",652052261,238918149,1229717,337747111,10977799,411470406,532664714,532664714,-0.246598603262842,0.986230929912108,540101408.143294,10977574,0.387229011730673,4.67719050216765,2347044.44792497,206677549,0.0694349491308919,8.20399499131975,25192305.6046079,750319837,0.604346476853919,0.0124551035104992,881389624,0.383198419635582,-0.113891920923791,0.245514968393018,0.00644419797397428,-0.0183978260375714,0.233561340329421,1.74481445980401,505148051.156684,0.0961051048712746,0.436598636978533
"1980",547754840,264584030,1261242,366404854,4348387,281362717,627487095,627487095,0.47818003466988,1.59092449666718,394416640.333669,4348387,-0.670059944183878,2.39321503627888,1816964.59953768,244239674,-0.0598666213842507,7.72726209931971,31607530.6959631,876075156,0.628593207838478,0.00435605218821773,998240336,0.367050739973304,0.266693888370387,-0.19378674100119,-0.00215174007913173,0.0850995582574655,-0.110838922822856,2.2781007959547,438189713.893525,0.08336618999286,0.366763572256664
"1981",634627039,198203020,719087,234370357,2221900,434984063,748407313,748407313,-0.228924937467128,1.26540262761317,591438089.876311,2221900,0.0343185490282395,2.47677228487891,897094.986715192,209439309,-0.202209425864193,6.31258451132575,33178060.2103993,960068522,0.759804710371599,0.00225573702534713,984999570,0.237939552603053,-0.219973369654359,0.281254151724379,-0.00233317093830924,0.0146690226865373,0.293590003472607,1.82826739915142,538761217.564336,0.102500055569919,0.424931124066944
